OBJECTID,Id,gridcode,Area,Shape_Length,Shape_Area
1,1,1,,4184.506215599036295,1054036.401577360462397
2,2,4,,4827.208729682508420,1220858.868797130882740
4,4,3,,7614.049600235793150,2672908.123781459871680
5,5,6,,11879.652727039097954,7945772.958283858373761
6,6,7,,8816.080595983190506,3595509.068025362677872
7,7,9,,10049.047590346517609,2813727.759972707368433
9,9,12,,1073.644589990203713,65509.550901041606267
10,10,11,,4244.869419226122773,846986.000996577669866
11,11,13,,4390.121514486250817,688367.043966034660116
12,12,15,,4689.115257579079298,885573.914123747614212
14,14,17,,4337.406897532456242,811343.158561558579095
18,18,20,,525.837796548978645,11097.406760487312567
19,19,19,,2097.301653054873441,184665.907068153494038
20,20,22,,522.255524804738911,13903.713681297174844
21,21,23,,3932.825351338057771,700423.071894630440511
27,27,5,,19596.404393163655186,6006108.785840538330376
28,28,29,,864.031644406331452,38559.860249683631992
29,29,28,,1009.785945285086996,63944.611143524794898
30,30,26,,1465.090979872471280,77555.585578119760612
31,31,30,,1444.982012031732211,114802.751271161119803
32,32,31,,23852.474606432555447,8048776.067453199066222
33,33,27,,3321.621298034751817,731828.799960939446464
37,37,40,,792.006275854446812,40479.358385094936239
38,38,39,,1162.905988299093679,83393.540253429222503
39,39,33,,3492.367914960680991,330260.301467391313054
40,40,38,,2973.674119709678507,524652.243730292073451
41,41,34,,8035.848033613006919,680635.119124961318448
42,42,42,,13955.965632346613347,4703433.114323201589286
44,44,43,,2041.652371392510531,158843.833038008335279
45,45,46,,1588.144087348308858,37815.978893266365048
50,50,52,,5662.653412213525371,1218461.238807555986568
55,55,47,,3008.203426515046885,585391.897407224983908
62,62,64,,2561.326366058723124,409395.866096128476784
97,97,100,,6758.472407200830276,1782319.593387373257428
122,122,45,,4489.458340561027399,431615.688772501074709
127,127,124,,11602.538902177948330,957699.863857873249799
136,136,37,,9789.634076169355467,2574628.604367437772453
139,139,134,,2690.196026671060281,158777.310783952561906
232,232,135,,1563.757139161451505,116744.463781795042451
242,242,126,,2854.840174265613314,219905.378053935128264